Shift: 0
aetypec 0 1 2 3 4 5 6
aetypce 0 1 2 3 4 6 5
aetyepc 0 1 2 3 5 4 6
aetyecp 0 1 2 3 5 6 4
aetycpe 0 1 2 3 6 4 5
aetycep 0 1 2 3 6 5 4
aetpyec 0 1 2 4 3 5 6
aetpyce 0 1 2 4 3 6 5
aetpeyc 0 1 2 4 5 3 6
aetpecy 0 1 2 4 5 6 3
aetpcye 0 1 2 4 6 3 5
aetpcey 0 1 2 4 6 5 3
aeteypc 0 1 2 5 3 4 6
aeteycp 0 1 2 5 3 6 4
aetepyc 0 1 2 5 4 3 6
aetepcy 0 1 2 5 4 6 3
aetecyp 0 1 2 5 6 3 4
aetecpy 0 1 2 5 6 4 3
aetcype 0 1 2 6 3 4 5
aetcyep 0 1 2 6 3 5 4
aetcpye 0 1 2 6 4 3 5
aetcpey 0 1 2 6 4 5 3
aetceyp 0 1 2 6 5 3 4
aetcepy 0 1 2 6 5 4 3
aeytpec 0 1 3 2 4 5 6
aeytpce 0 1 3 2 4 6 5
aeytepc 0 1 3 2 5 4 6
aeytecp 0 1 3 2 5 6 4
aeytcpe 0 1 3 2 6 4 5
aeytcep 0 1 3 2 6 5 4
aeyptec 0 1 3 4 2 5 6
aeyptce 0 1 3 4 2 6 5
aeypetc 0 1 3 4 5 2 6
aeypect 0 1 3 4 5 6 2
aeypcte 0 1 3 4 6 2 5
aeypcet 0 1 3 4 6 5 2
aeyetpc 0 1 3 5 2 4 6
aeyetcp 0 1 3 5 2 6 4
aeyeptc 0 1 3 5 4 2 6
aeyepct 0 1 3 5 4 6 2
aeyectp 0 1 3 5 6 2 4
aeyecpt 0 1 3 5 6 4 2
aeyctpe 0 1 3 6 2 4 5
aeyctep 0 1 3 6 2 5 4
aeycpte 0 1 3 6 4 2 5
aeycpet 0 1 3 6 4 5 2
aeycetp 0 1 3 6 5 2 4
aeycept 0 1 3 6 5 4 2
aeptyec 0 1 4 2 3 5 6
aeptyce 0 1 4 2 3 6 5
aepteyc 0 1 4 2 5 3 6
aeptecy 0 1 4 2 5 6 3
aeptcye 0 1 4 2 6 3 5
aeptcey 0 1 4 2 6 5 3
aepytec 0 1 4 3 2 5 6
aepytce 0 1 4 3 2 6 5
aepyetc 0 1 4 3 5 2 6
aepyect 0 1 4 3 5 6 2
aepycte 0 1 4 3 6 2 5
aepycet 0 1 4 3 6 5 2
aepetyc 0 1 4 5 2 3 6
aepetcy 0 1 4 5 2 6 3
aepeytc 0 1 4 5 3 2 6
aepeyct 0 1 4 5 3 6 2
aepecty 0 1 4 5 6 2 3
aepecyt 0 1 4 5 6 3 2
aepctye 0 1 4 6 2 3 5
aepctey 0 1 4 6 2 5 3
aepcyte 0 1 4 6 3 2 5
aepcyet 0 1 4 6 3 5 2
