Shift: 2
cgvarge 0 1 2 3 4 5 6
cgvareg 0 1 2 3 4 6 5
cgvagre 0 1 2 3 5 4 6
cgvager 0 1 2 3 5 6 4
cgvaerg 0 1 2 3 6 4 5
cgvaegr 0 1 2 3 6 5 4
cgvrage 0 1 2 4 3 5 6
cgvraeg 0 1 2 4 3 6 5
cgvrgae 0 1 2 4 5 3 6
cgvrgea 0 1 2 4 5 6 3
cgvreag 0 1 2 4 6 3 5
cgvrega 0 1 2 4 6 5 3
cgvgare 0 1 2 5 3 4 6
cgvgaer 0 1 2 5 3 6 4
cgvgrae 0 1 2 5 4 3 6
cgvgrea 0 1 2 5 4 6 3
cgvgear 0 1 2 5 6 3 4
cgvgera 0 1 2 5 6 4 3
cgvearg 0 1 2 6 3 4 5
cgveagr 0 1 2 6 3 5 4
cgverag 0 1 2 6 4 3 5
cgverga 0 1 2 6 4 5 3
cgvegar 0 1 2 6 5 3 4
cgvegra 0 1 2 6 5 4 3
cgavrge 0 1 3 2 4 5 6
cgavreg 0 1 3 2 4 6 5
cgavgre 0 1 3 2 5 4 6
cgavger 0 1 3 2 5 6 4
cgaverg 0 1 3 2 6 4 5
cgavegr 0 1 3 2 6 5 4
cgarvge 0 1 3 4 2 5 6
cgarveg 0 1 3 4 2 6 5
cgargve 0 1 3 4 5 2 6
cgargev 0 1 3 4 5 6 2
cgarevg 0 1 3 4 6 2 5
cgaregv 0 1 3 4 6 5 2
cgagvre 0 1 3 5 2 4 6
cgagver 0 1 3 5 2 6 4
cgagrve 0 1 3 5 4 2 6
cgagrev 0 1 3 5 4 6 2
cgagevr 0 1 3 5 6 2 4
cgagerv 0 1 3 5 6 4 2
cgaevrg 0 1 3 6 2 4 5
cgaevgr 0 1 3 6 2 5 4
cgaervg 0 1 3 6 4 2 5
cgaergv 0 1 3 6 4 5 2
cgaegvr 0 1 3 6 5 2 4
cgaegrv 0 1 3 6 5 4 2
cgrvage 0 1 4 2 3 5 6
cgrvaeg 0 1 4 2 3 6 5
cgrvgae 0 1 4 2 5 3 6
cgrvgea 0 1 4 2 5 6 3
cgrveag 0 1 4 2 6 3 5
cgrvega 0 1 4 2 6 5 3
cgravge 0 1 4 3 2 5 6
cgraveg 0 1 4 3 2 6 5
cgragve 0 1 4 3 5 2 6
cgragev 0 1 4 3 5 6 2
cgraevg 0 1 4 3 6 2 5
cgraegv 0 1 4 3 6 5 2
cgrgvae 0 1 4 5 2 3 6
cgrgvea 0 1 4 5 2 6 3
cgrgave 0 1 4 5 3 2 6
cgrgaev 0 1 4 5 3 6 2
cgrgeva 0 1 4 5 6 2 3
cgrgeav 0 1 4 5 6 3 2
cgrevag 0 1 4 6 2 3 5
cgrevga 0 1 4 6 2 5 3
cgreavg 0 1 4 6 3 2 5
cgreagv 0 1 4 6 3 5 2
cgregva 0 1 4 6 5 2 3
cgregav 0 1 4 6 5 3 2
cggvare 0 1 5 2 3 4 6
cggvaer 0 1 5 2 3 6 4
cggvrae 0 1 5 2 4 3 6
cggvrea 0 1 5 2 4 6 3
cggvear 0 1 5 2 6 3 4
cggvera 0 1 5 2 6 4 3
cggavre 0 1 5 3 2 4 6
cggaver 0 1 5 3 2 6 4
cggarve 0 1 5 3 4 2 6
cggarev 0 1 5 3 4 6 2
cggaevr 0 1 5 3 6 2 4
cggaerv 0 1 5 3 6 4 2
cggrvae 0 1 5 4 2 3 6
cggrvea 0 1 5 4 2 6 3
cggrave 0 1 5 4 3 2 6
cggraev 0 1 5 4 3 6 2
cggreva 0 1 5 4 6 2 3
cggreav 0 1 5 4 6 3 2
cggevar 0 1 5 6 2 3 4
cggevra 0 1 5 6 2 4 3
cggeavr 0 1 5 6 3 2 4
cggearv 0 1 5 6 3 4 2
cggerva 0 1 5 6 4 2 3
cggerav 0 1 5 6 4 3 2
cgevarg 0 1 6 2 3 4 5
cgevagr 0 1 6 2 3 5 4
cgevrag 0 1 6 2 4 3 5
cgevrga 0 1 6 2 4 5 3
cgevgar 0 1 6 2 5 3 4
cgevgra 0 1 6 2 5 4 3
cgeavrg 0 1 6 3 2 4 5
cgeavgr 0 1 6 3 2 5 4
cgearvg 0 1 6 3 4 2 5
cgeargv 0 1 6 3 4 5 2
cgeagvr 0 1 6 3 5 2 4
cgeagrv 0 1 6 3 5 4 2
cgervag 0 1 6 4 2 3 5
cgervga 0 1 6 4 2 5 3
cgeravg 0 1 6 4 3 2 5
cgeragv 0 1 6 4 3 5 2
cgergva 0 1 6 4 5 2 3
cgergav 0 1 6 4 5 3 2
cgegvar 0 1 6 5 2 3 4
cgegvra 0 1 6 5 2 4 3
cgegavr 0 1 6 5 3 2 4
cgegarv 0 1 6 5 3 4 2
cgegrva 0 1 6 5 4 2 3
cgegrav 0 1 6 5 4 3 2
cvgarge 0 2 1 3 4 5 6
cvgareg 0 2 1 3 4 6 5
cvgagre 0 2 1 3 5 4 6
cvgager 0 2 1 3 5 6 4
cvgaerg 0 2 1 3 6 4 5
cvgaegr 0 2 1 3 6 5 4
cvgrage 0 2 1 4 3 5 6
cvgraeg 0 2 1 4 3 6 5
cvgrgae 0 2 1 4 5 3 6
cvgrgea 0 2 1 4 5 6 3
cvgreag 0 2 1 4 6 3 5
cvgrega 0 2 1 4 6 5 3
cvggare 0 2 1 5 3 4 6
cvggaer 0 2 1 5 3 6 4
cvggrae 0 2 1 5 4 3 6
cvggrea 0 2 1 5 4 6 3
cvggear 0 2 1 5 6 3 4
cvggera 0 2 1 5 6 4 3
cvgearg 0 2 1 6 3 4 5
cvgeagr 0 2 1 6 3 5 4
cvgerag 0 2 1 6 4 3 5
cvgerga 0 2 1 6 4 5 3
cvgegar 0 2 1 6 5 3 4
cvgegra 0 2 1 6 5 4 3
cvagrge 0 2 3 1 4 5 6
cvagreg 0 2 3 1 4 6 5
cvaggre 0 2 3 1 5 4 6
cvagger 0 2 3 1 5 6 4
cvagerg 0 2 3 1 6 4 5
cvagegr 0 2 3 1 6 5 4
cvargge 0 2 3 4 1 5 6
cvargeg 0 2 3 4 1 6 5
cvargge 0 2 3 4 5 1 6
cvargeg 0 2 3 4 5 6 1
cvaregg 0 2 3 4 6 1 5
cvaregg 0 2 3 4 6 5 1
cvaggre 0 2 3 5 1 4 6
cvagger 0 2 3 5 1 6 4
cvagrge 0 2 3 5 4 1 6
cvagreg 0 2 3 5 4 6 1
cvagegr 0 2 3 5 6 1 4
cvagerg 0 2 3 5 6 4 1
cvaegrg 0 2 3 6 1 4 5
cvaeggr 0 2 3 6 1 5 4
cvaergg 0 2 3 6 4 1 5
cvaergg 0 2 3 6 4 5 1
cvaeggr 0 2 3 6 5 1 4
cvaegrg 0 2 3 6 5 4 1
cvrgage 0 2 4 1 3 5 6
cvrgaeg 0 2 4 1 3 6 5
cvrggae 0 2 4 1 5 3 6
cvrggea 0 2 4 1 5 6 3
cvrgeag 0 2 4 1 6 3 5
cvrgega 0 2 4 1 6 5 3
cvragge 0 2 4 3 1 5 6
cvrageg 0 2 4 3 1 6 5
cvragge 0 2 4 3 5 1 6
cvrageg 0 2 4 3 5 6 1
cvraegg 0 2 4 3 6 1 5
cvraegg 0 2 4 3 6 5 1
cvrggae 0 2 4 5 1 3 6
cvrggea 0 2 4 5 1 6 3
cvrgage 0 2 4 5 3 1 6
cvrgaeg 0 2 4 5 3 6 1
cvrgega 0 2 4 5 6 1 3
cvrgeag 0 2 4 5 6 3 1
cvregag 0 2 4 6 1 3 5
cvregga 0 2 4 6 1 5 3
cvreagg 0 2 4 6 3 1 5
cvreagg 0 2 4 6 3 5 1
cvregga 0 2 4 6 5 1 3
cvregag 0 2 4 6 5 3 1
cvggare 0 2 5 1 3 4 6
cvggaer 0 2 5 1 3 6 4
cvggrae 0 2 5 1 4 3 6
cvggrea 0 2 5 1 4 6 3
cvggear 0 2 5 1 6 3 4
cvggera 0 2 5 1 6 4 3
cvgagre 0 2 5 3 1 4 6
cvgager 0 2 5 3 1 6 4
cvgarge 0 2 5 3 4 1 6
cvgareg 0 2 5 3 4 6 1
cvgaegr 0 2 5 3 6 1 4
cvgaerg 0 2 5 3 6 4 1
cvgrgae 0 2 5 4 1 3 6
cvgrgea 0 2 5 4 1 6 3
cvgrage 0 2 5 4 3 1 6
cvgraeg 0 2 5 4 3 6 1
cvgrega 0 2 5 4 6 1 3
cvgreag 0 2 5 4 6 3 1
cvgegar 0 2 5 6 1 3 4
cvgegra 0 2 5 6 1 4 3
cvgeagr 0 2 5 6 3 1 4
cvgearg 0 2 5 6 3 4 1
cvgerga 0 2 5 6 4 1 3
cvgerag 0 2 5 6 4 3 1
cvegarg 0 2 6 1 3 4 5
cvegagr 0 2 6 1 3 5 4
cvegrag 0 2 6 1 4 3 5
cvegrga 0 2 6 1 4 5 3
cveggar 0 2 6 1 5 3 4
cveggra 0 2 6 1 5 4 3
cveagrg 0 2 6 3 1 4 5
cveaggr 0 2 6 3 1 5 4
cveargg 0 2 6 3 4 1 5
cveargg 0 2 6 3 4 5 1
cveaggr 0 2 6 3 5 1 4
