Shift: 4
eixctig 0 1 2 3 4 5 6
eixctgi 0 1 2 3 4 6 5
eixcitg 0 1 2 3 5 4 6
eixcigt 0 1 2 3 5 6 4
eixcgti 0 1 2 3 6 4 5
eixcgit 0 1 2 3 6 5 4
eixtcig 0 1 2 4 3 5 6
eixtcgi 0 1 2 4 3 6 5
eixticg 0 1 2 4 5 3 6
eixtigc 0 1 2 4 5 6 3
eixtgci 0 1 2 4 6 3 5
eixtgic 0 1 2 4 6 5 3
eixictg 0 1 2 5 3 4 6
eixicgt 0 1 2 5 3 6 4
eixitcg 0 1 2 5 4 3 6
eixitgc 0 1 2 5 4 6 3
eixigct 0 1 2 5 6 3 4
eixigtc 0 1 2 5 6 4 3
eixgcti 0 1 2 6 3 4 5
eixgcit 0 1 2 6 3 5 4
eixgtci 0 1 2 6 4 3 5
eixgtic 0 1 2 6 4 5 3
eixgict 0 1 2 6 5 3 4
eixgitc 0 1 2 6 5 4 3
eicxtig 0 1 3 2 4 5 6
eicxtgi 0 1 3 2 4 6 5
eicxitg 0 1 3 2 5 4 6
eicxigt 0 1 3 2 5 6 4
eicxgti 0 1 3 2 6 4 5
eicxgit 0 1 3 2 6 5 4
eictxig 0 1 3 4 2 5 6
eictxgi 0 1 3 4 2 6 5
eictixg 0 1 3 4 5 2 6
eictigx 0 1 3 4 5 6 2
eictgxi 0 1 3 4 6 2 5
eictgix 0 1 3 4 6 5 2
eicixtg 0 1 3 5 2 4 6
eicixgt 0 1 3 5 2 6 4
eicitxg 0 1 3 5 4 2 6
eicitgx 0 1 3 5 4 6 2
eicigxt 0 1 3 5 6 2 4
eicigtx 0 1 3 5 6 4 2
eicgxti 0 1 3 6 2 4 5
eicgxit 0 1 3 6 2 5 4
eicgtxi 0 1 3 6 4 2 5
eicgtix 0 1 3 6 4 5 2
eicgixt 0 1 3 6 5 2 4
eicgitx 0 1 3 6 5 4 2
eitxcig 0 1 4 2 3 5 6
eitxcgi 0 1 4 2 3 6 5
eitxicg 0 1 4 2 5 3 6
eitxigc 0 1 4 2 5 6 3
eitxgci 0 1 4 2 6 3 5
eitxgic 0 1 4 2 6 5 3
eitcxig 0 1 4 3 2 5 6
eitcxgi 0 1 4 3 2 6 5
eitcixg 0 1 4 3 5 2 6
eitcigx 0 1 4 3 5 6 2
eitcgxi 0 1 4 3 6 2 5
eitcgix 0 1 4 3 6 5 2
eitixcg 0 1 4 5 2 3 6
eitixgc 0 1 4 5 2 6 3
eiticxg 0 1 4 5 3 2 6
eiticgx 0 1 4 5 3 6 2
eitigxc 0 1 4 5 6 2 3
eitigcx 0 1 4 5 6 3 2
eitgxci 0 1 4 6 2 3 5
eitgxic 0 1 4 6 2 5 3
eitgcxi 0 1 4 6 3 2 5
eitgcix 0 1 4 6 3 5 2
eitgixc 0 1 4 6 5 2 3
eitgicx 0 1 4 6 5 3 2
eiixctg 0 1 5 2 3 4 6
eiixcgt 0 1 5 2 3 6 4
eiixtcg 0 1 5 2 4 3 6
eiixtgc 0 1 5 2 4 6 3
eiixgct 0 1 5 2 6 3 4
eiixgtc 0 1 5 2 6 4 3
eiicxtg 0 1 5 3 2 4 6
eiicxgt 0 1 5 3 2 6 4
eiictxg 0 1 5 3 4 2 6
eiictgx 0 1 5 3 4 6 2
eiicgxt 0 1 5 3 6 2 4
