Shift: 6
gkzevki 0 1 2 3 4 5 6
gkzevik 0 1 2 3 4 6 5
gkzekvi 0 1 2 3 5 4 6
gkzekiv 0 1 2 3 5 6 4
gkzeivk 0 1 2 3 6 4 5
gkzeikv 0 1 2 3 6 5 4
gkzveki 0 1 2 4 3 5 6
gkzveik 0 1 2 4 3 6 5
gkzvkei 0 1 2 4 5 3 6
gkzvkie 0 1 2 4 5 6 3
gkzviek 0 1 2 4 6 3 5
gkzvike 0 1 2 4 6 5 3
gkzkevi 0 1 2 5 3 4 6
gkzkeiv 0 1 2 5 3 6 4
gkzkvei 0 1 2 5 4 3 6
gkzkvie 0 1 2 5 4 6 3
gkzkiev 0 1 2 5 6 3 4
gkzkive 0 1 2 5 6 4 3
gkzievk 0 1 2 6 3 4 5
gkziekv 0 1 2 6 3 5 4
gkzivek 0 1 2 6 4 3 5
gkzivke 0 1 2 6 4 5 3
gkzikev 0 1 2 6 5 3 4
gkzikve 0 1 2 6 5 4 3
gkezvki 0 1 3 2 4 5 6
gkezvik 0 1 3 2 4 6 5
gkezkvi 0 1 3 2 5 4 6
gkezkiv 0 1 3 2 5 6 4
gkezivk 0 1 3 2 6 4 5
gkezikv 0 1 3 2 6 5 4
gkevzki 0 1 3 4 2 5 6
gkevzik 0 1 3 4 2 6 5
gkevkzi 0 1 3 4 5 2 6
gkevkiz 0 1 3 4 5 6 2
gkevizk 0 1 3 4 6 2 5
gkevikz 0 1 3 4 6 5 2
gkekzvi 0 1 3 5 2 4 6
gkekziv 0 1 3 5 2 6 4
gkekvzi 0 1 3 5 4 2 6
gkekviz 0 1 3 5 4 6 2
gkekizv 0 1 3 5 6 2 4
gkekivz 0 1 3 5 6 4 2
gkeizvk 0 1 3 6 2 4 5
gkeizkv 0 1 3 6 2 5 4
gkeivzk 0 1 3 6 4 2 5
gkeivkz 0 1 3 6 4 5 2
gkeikzv 0 1 3 6 5 2 4
gkeikvz 0 1 3 6 5 4 2
gkvzeki 0 1 4 2 3 5 6
gkvzeik 0 1 4 2 3 6 5
gkvzkei 0 1 4 2 5 3 6
gkvzkie 0 1 4 2 5 6 3
gkvziek 0 1 4 2 6 3 5
gkvzike 0 1 4 2 6 5 3
gkvezki 0 1 4 3 2 5 6
gkvezik 0 1 4 3 2 6 5
gkvekzi 0 1 4 3 5 2 6
gkvekiz 0 1 4 3 5 6 2
gkveizk 0 1 4 3 6 2 5
gkveikz 0 1 4 3 6 5 2
gkvkzei 0 1 4 5 2 3 6
gkvkzie 0 1 4 5 2 6 3
gkvkezi 0 1 4 5 3 2 6
