Shift: 10
kodizom 0 1 2 3 4 5 6
kodizmo 0 1 2 3 4 6 5
kodiozm 0 1 2 3 5 4 6
kodiomz 0 1 2 3 5 6 4
kodimzo 0 1 2 3 6 4 5
kodimoz 0 1 2 3 6 5 4
kodziom 0 1 2 4 3 5 6
kodzimo 0 1 2 4 3 6 5
kodzoim 0 1 2 4 5 3 6
kodzomi 0 1 2 4 5 6 3
kodzmio 0 1 2 4 6 3 5
kodzmoi 0 1 2 4 6 5 3
kodoizm 0 1 2 5 3 4 6
kodoimz 0 1 2 5 3 6 4
kodozim 0 1 2 5 4 3 6
kodozmi 0 1 2 5 4 6 3
kodomiz 0 1 2 5 6 3 4
kodomzi 0 1 2 5 6 4 3
kodmizo 0 1 2 6 3 4 5
kodmioz 0 1 2 6 3 5 4
kodmzio 0 1 2 6 4 3 5
kodmzoi 0 1 2 6 4 5 3
kodmoiz 0 1 2 6 5 3 4
kodmozi 0 1 2 6 5 4 3
koidzom 0 1 3 2 4 5 6
koidzmo 0 1 3 2 4 6 5
koidozm 0 1 3 2 5 4 6
koidomz 0 1 3 2 5 6 4
koidmzo 0 1 3 2 6 4 5
koidmoz 0 1 3 2 6 5 4
koizdom 0 1 3 4 2 5 6
koizdmo 0 1 3 4 2 6 5
koizodm 0 1 3 4 5 2 6
koizomd 0 1 3 4 5 6 2
koizmdo 0 1 3 4 6 2 5
koizmod 0 1 3 4 6 5 2
koiodzm 0 1 3 5 2 4 6
koiodmz 0 1 3 5 2 6 4
koiozdm 0 1 3 5 4 2 6
koiozmd 0 1 3 5 4 6 2
koiomdz 0 1 3 5 6 2 4
koiomzd 0 1 3 5 6 4 2
koimdzo 0 1 3 6 2 4 5
koimdoz 0 1 3 6 2 5 4
koimzdo 0 1 3 6 4 2 5
koimzod 0 1 3 6 4 5 2
koimodz 0 1 3 6 5 2 4
koimozd 0 1 3 6 5 4 2
kozdiom 0 1 4 2 3 5 6
kozdimo 0 1 4 2 3 6 5
kozdoim 0 1 4 2 5 3 6
kozdomi 0 1 4 2 5 6 3
kozdmio 0 1 4 2 6 3 5
