Shift: 11
lpejapn 0 1 2 3 4 5 6
lpejanp 0 1 2 3 4 6 5
lpejpan 0 1 2 3 5 4 6
lpejpna 0 1 2 3 5 6 4
lpejnap 0 1 2 3 6 4 5
lpejnpa 0 1 2 3 6 5 4
lpeajpn 0 1 2 4 3 5 6
lpeajnp 0 1 2 4 3 6 5
lpeapjn 0 1 2 4 5 3 6
lpeapnj 0 1 2 4 5 6 3
lpeanjp 0 1 2 4 6 3 5
lpeanpj 0 1 2 4 6 5 3
lpepjan 0 1 2 5 3 4 6
lpepjna 0 1 2 5 3 6 4
lpepajn 0 1 2 5 4 3 6
lpepanj 0 1 2 5 4 6 3
lpepnja 0 1 2 5 6 3 4
lpepnaj 0 1 2 5 6 4 3
lpenjap 0 1 2 6 3 4 5
lpenjpa 0 1 2 6 3 5 4
lpenajp 0 1 2 6 4 3 5
lpenapj 0 1 2 6 4 5 3
lpenpja 0 1 2 6 5 3 4
lpenpaj 0 1 2 6 5 4 3
lpjeapn 0 1 3 2 4 5 6
lpjeanp 0 1 3 2 4 6 5
lpjepan 0 1 3 2 5 4 6
lpjepna 0 1 3 2 5 6 4
lpjenap 0 1 3 2 6 4 5
lpjenpa 0 1 3 2 6 5 4
lpjaepn 0 1 3 4 2 5 6
lpjaenp 0 1 3 4 2 6 5
lpjapen 0 1 3 4 5 2 6
lpjapne 0 1 3 4 5 6 2
lpjanep 0 1 3 4 6 2 5
lpjanpe 0 1 3 4 6 5 2
lpjpean 0 1 3 5 2 4 6
lpjpena 0 1 3 5 2 6 4
lpjpaen 0 1 3 5 4 2 6
lpjpane 0 1 3 5 4 6 2
lpjpnea 0 1 3 5 6 2 4
lpjpnae 0 1 3 5 6 4 2
lpjneap 0 1 3 6 2 4 5
lpjnepa 0 1 3 6 2 5 4
lpjnaep 0 1 3 6 4 2 5
lpjnape 0 1 3 6 4 5 2
lpjnpea 0 1 3 6 5 2 4
lpjnpae 0 1 3 6 5 4 2
lpaejpn 0 1 4 2 3 5 6
lpaejnp 0 1 4 2 3 6 5
lpaepjn 0 1 4 2 5 3 6
lpaepnj 0 1 4 2 5 6 3
lpaenjp 0 1 4 2 6 3 5
lpaenpj 0 1 4 2 6 5 3
lpajepn 0 1 4 3 2 5 6
lpajenp 0 1 4 3 2 6 5
lpajpen 0 1 4 3 5 2 6
lpajpne 0 1 4 3 5 6 2
lpajnep 0 1 4 3 6 2 5
lpajnpe 0 1 4 3 6 5 2
lpapejn 0 1 4 5 2 3 6
lpapenj 0 1 4 5 2 6 3
lpapjen 0 1 4 5 3 2 6
lpapjne 0 1 4 5 3 6 2
lpapnej 0 1 4 5 6 2 3
lpapnje 0 1 4 5 6 3 2
lpanejp 0 1 4 6 2 3 5
lpanepj 0 1 4 6 2 5 3
lpanjep 0 1 4 6 3 2 5
lpanjpe 0 1 4 6 3 5 2
lpanpej 0 1 4 6 5 2 3
lpanpje 0 1 4 6 5 3 2
lppejan 0 1 5 2 3 4 6
lppejna 0 1 5 2 3 6 4
lppeajn 0 1 5 2 4 3 6
lppeanj 0 1 5 2 4 6 3
lppenja 0 1 5 2 6 3 4
lppenaj 0 1 5 2 6 4 3
lppjean 0 1 5 3 2 4 6
lppjena 0 1 5 3 2 6 4
lppjaen 0 1 5 3 4 2 6
lppjane 0 1 5 3 4 6 2
lppjnea 0 1 5 3 6 2 4
lppjnae 0 1 5 3 6 4 2
lppaejn 0 1 5 4 2 3 6
lppaenj 0 1 5 4 2 6 3
lppajen 0 1 5 4 3 2 6
lppajne 0 1 5 4 3 6 2
lppanej 0 1 5 4 6 2 3
lppanje 0 1 5 4 6 3 2
lppneja 0 1 5 6 2 3 4
lppneaj 0 1 5 6 2 4 3
lppnjea 0 1 5 6 3 2 4
lppnjae 0 1 5 6 3 4 2
lppnaej 0 1 5 6 4 2 3
lppnaje 0 1 5 6 4 3 2
lpnejap 0 1 6 2 3 4 5
lpnejpa 0 1 6 2 3 5 4
lpneajp 0 1 6 2 4 3 5
lpneapj 0 1 6 2 4 5 3
lpnepja 0 1 6 2 5 3 4
lpnepaj 0 1 6 2 5 4 3
lpnjeap 0 1 6 3 2 4 5
lpnjepa 0 1 6 3 2 5 4
lpnjaep 0 1 6 3 4 2 5
lpnjape 0 1 6 3 4 5 2
lpnjpea 0 1 6 3 5 2 4
lpnjpae 0 1 6 3 5 4 2
lpnaejp 0 1 6 4 2 3 5
lpnaepj 0 1 6 4 2 5 3
lpnajep 0 1 6 4 3 2 5
lpnajpe 0 1 6 4 3 5 2
lpnapej 0 1 6 4 5 2 3
lpnapje 0 1 6 4 5 3 2
lpnpeja 0 1 6 5 2 3 4
lpnpeaj 0 1 6 5 2 4 3
lpnpjea 0 1 6 5 3 2 4
lpnpjae 0 1 6 5 3 4 2
