Shift: 15
ptinetr 0 1 2 3 4 5 6
ptinert 0 1 2 3 4 6 5
ptinter 0 1 2 3 5 4 6
ptintre 0 1 2 3 5 6 4
ptinret 0 1 2 3 6 4 5
ptinrte 0 1 2 3 6 5 4
ptientr 0 1 2 4 3 5 6
ptienrt 0 1 2 4 3 6 5
ptietnr 0 1 2 4 5 3 6
ptietrn 0 1 2 4 5 6 3
ptiernt 0 1 2 4 6 3 5
ptiertn 0 1 2 4 6 5 3
ptitner 0 1 2 5 3 4 6
ptitnre 0 1 2 5 3 6 4
ptitenr 0 1 2 5 4 3 6
ptitern 0 1 2 5 4 6 3
ptitrne 0 1 2 5 6 3 4
ptitren 0 1 2 5 6 4 3
ptirnet 0 1 2 6 3 4 5
ptirnte 0 1 2 6 3 5 4
ptirent 0 1 2 6 4 3 5
ptiretn 0 1 2 6 4 5 3
ptirtne 0 1 2 6 5 3 4
ptirten 0 1 2 6 5 4 3
ptnietr 0 1 3 2 4 5 6
ptniert 0 1 3 2 4 6 5
ptniter 0 1 3 2 5 4 6
ptnitre 0 1 3 2 5 6 4
ptniret 0 1 3 2 6 4 5
ptnirte 0 1 3 2 6 5 4
ptneitr 0 1 3 4 2 5 6
ptneirt 0 1 3 4 2 6 5
ptnetir 0 1 3 4 5 2 6
ptnetri 0 1 3 4 5 6 2
ptnerit 0 1 3 4 6 2 5
ptnerti 0 1 3 4 6 5 2
ptntier 0 1 3 5 2 4 6
ptntire 0 1 3 5 2 6 4
ptnteir 0 1 3 5 4 2 6
ptnteri 0 1 3 5 4 6 2
ptntrie 0 1 3 5 6 2 4
ptntrei 0 1 3 5 6 4 2
ptnriet 0 1 3 6 2 4 5
ptnrite 0 1 3 6 2 5 4
ptnreit 0 1 3 6 4 2 5
ptnreti 0 1 3 6 4 5 2
ptnrtie 0 1 3 6 5 2 4
ptnrtei 0 1 3 6 5 4 2
pteintr 0 1 4 2 3 5 6
pteinrt 0 1 4 2 3 6 5
pteitnr 0 1 4 2 5 3 6
pteitrn 0 1 4 2 5 6 3
pteirnt 0 1 4 2 6 3 5
pteirtn 0 1 4 2 6 5 3
ptenitr 0 1 4 3 2 5 6
ptenirt 0 1 4 3 2 6 5
ptentir 0 1 4 3 5 2 6
ptentri 0 1 4 3 5 6 2
ptenrit 0 1 4 3 6 2 5
ptenrti 0 1 4 3 6 5 2
ptetinr 0 1 4 5 2 3 6
ptetirn 0 1 4 5 2 6 3
ptetnir 0 1 4 5 3 2 6
ptetnri 0 1 4 5 3 6 2
ptetrin 0 1 4 5 6 2 3
ptetrni 0 1 4 5 6 3 2
pterint 0 1 4 6 2 3 5
pteritn 0 1 4 6 2 5 3
pternit 0 1 4 6 3 2 5
pternti 0 1 4 6 3 5 2
ptertin 0 1 4 6 5 2 3
ptertni 0 1 4 6 5 3 2
pttiner 0 1 5 2 3 4 6
pttinre 0 1 5 2 3 6 4
pttienr 0 1 5 2 4 3 6
pttiern 0 1 5 2 4 6 3
pttirne 0 1 5 2 6 3 4
pttiren 0 1 5 2 6 4 3
pttnier 0 1 5 3 2 4 6
pttnire 0 1 5 3 2 6 4
pttneir 0 1 5 3 4 2 6
pttneri 0 1 5 3 4 6 2
pttnrie 0 1 5 3 6 2 4
pttnrei 0 1 5 3 6 4 2
ptteinr 0 1 5 4 2 3 6
ptteirn 0 1 5 4 2 6 3
pttenir 0 1 5 4 3 2 6
pttenri 0 1 5 4 3 6 2
ptterin 0 1 5 4 6 2 3
ptterni 0 1 5 4 6 3 2
pttrine 0 1 5 6 2 3 4
pttrien 0 1 5 6 2 4 3
pttrnie 0 1 5 6 3 2 4
pttrnei 0 1 5 6 3 4 2
pttrein 0 1 5 6 4 2 3
pttreni 0 1 5 6 4 3 2
ptrinet 0 1 6 2 3 4 5
ptrinte 0 1 6 2 3 5 4
ptrient 0 1 6 2 4 3 5
ptrietn 0 1 6 2 4 5 3
ptritne 0 1 6 2 5 3 4
ptriten 0 1 6 2 5 4 3
ptrniet 0 1 6 3 2 4 5
ptrnite 0 1 6 3 2 5 4
ptrneit 0 1 6 3 4 2 5
ptrneti 0 1 6 3 4 5 2
ptrntie 0 1 6 3 5 2 4
ptrntei 0 1 6 3 5 4 2
ptreint 0 1 6 4 2 3 5
ptreitn 0 1 6 4 2 5 3
ptrenit 0 1 6 4 3 2 5
ptrenti 0 1 6 4 3 5 2
ptretin 0 1 6 4 5 2 3
ptretni 0 1 6 4 5 3 2
ptrtine 0 1 6 5 2 3 4
ptrtien 0 1 6 5 2 4 3
ptrtnie 0 1 6 5 3 2 4
ptrtnei 0 1 6 5 3 4 2
ptrtein 0 1 6 5 4 2 3
ptrteni 0 1 6 5 4 3 2
pitnetr 0 2 1 3 4 5 6
pitnert 0 2 1 3 4 6 5
pitnter 0 2 1 3 5 4 6
pitntre 0 2 1 3 5 6 4
pitnret 0 2 1 3 6 4 5
pitnrte 0 2 1 3 6 5 4
pitentr 0 2 1 4 3 5 6
pitenrt 0 2 1 4 3 6 5
pitetnr 0 2 1 4 5 3 6
pitetrn 0 2 1 4 5 6 3
piternt 0 2 1 4 6 3 5
pitertn 0 2 1 4 6 5 3
pittner 0 2 1 5 3 4 6
pittnre 0 2 1 5 3 6 4
pittenr 0 2 1 5 4 3 6
pittern 0 2 1 5 4 6 3
pittrne 0 2 1 5 6 3 4
pittren 0 2 1 5 6 4 3
pitrnet 0 2 1 6 3 4 5
pitrnte 0 2 1 6 3 5 4
pitrent 0 2 1 6 4 3 5
pitretn 0 2 1 6 4 5 3
pitrtne 0 2 1 6 5 3 4
pitrten 0 2 1 6 5 4 3
pintetr 0 2 3 1 4 5 6
pintert 0 2 3 1 4 6 5
pintter 0 2 3 1 5 4 6
pinttre 0 2 3 1 5 6 4
pintret 0 2 3 1 6 4 5
pintrte 0 2 3 1 6 5 4
pinettr 0 2 3 4 1 5 6
pinetrt 0 2 3 4 1 6 5
pinettr 0 2 3 4 5 1 6
pinetrt 0 2 3 4 5 6 1
pinertt 0 2 3 4 6 1 5
pinertt 0 2 3 4 6 5 1
pintter 0 2 3 5 1 4 6
pinttre 0 2 3 5 1 6 4
pintetr 0 2 3 5 4 1 6
pintert 0 2 3 5 4 6 1
pintrte 0 2 3 5 6 1 4
pintret 0 2 3 5 6 4 1
pinrtet 0 2 3 6 1 4 5
pinrtte 0 2 3 6 1 5 4
pinrett 0 2 3 6 4 1 5
pinrett 0 2 3 6 4 5 1
pinrtte 0 2 3 6 5 1 4
pinrtet 0 2 3 6 5 4 1
pietntr 0 2 4 1 3 5 6
pietnrt 0 2 4 1 3 6 5
piettnr 0 2 4 1 5 3 6
piettrn 0 2 4 1 5 6 3
pietrnt 0 2 4 1 6 3 5
pietrtn 0 2 4 1 6 5 3
pienttr 0 2 4 3 1 5 6
pientrt 0 2 4 3 1 6 5
pienttr 0 2 4 3 5 1 6
pientrt 0 2 4 3 5 6 1
pienrtt 0 2 4 3 6 1 5
pienrtt 0 2 4 3 6 5 1
piettnr 0 2 4 5 1 3 6
piettrn 0 2 4 5 1 6 3
pietntr 0 2 4 5 3 1 6
pietnrt 0 2 4 5 3 6 1
pietrtn 0 2 4 5 6 1 3
pietrnt 0 2 4 5 6 3 1
piertnt 0 2 4 6 1 3 5
pierttn 0 2 4 6 1 5 3
pierntt 0 2 4 6 3 1 5
pierntt 0 2 4 6 3 5 1
pierttn 0 2 4 6 5 1 3
piertnt 0 2 4 6 5 3 1
pittner 0 2 5 1 3 4 6
pittnre 0 2 5 1 3 6 4
pittenr 0 2 5 1 4 3 6
pittern 0 2 5 1 4 6 3
pittrne 0 2 5 1 6 3 4
pittren 0 2 5 1 6 4 3
pitnter 0 2 5 3 1 4 6
pitntre 0 2 5 3 1 6 4
pitnetr 0 2 5 3 4 1 6
pitnert 0 2 5 3 4 6 1
pitnrte 0 2 5 3 6 1 4
pitnret 0 2 5 3 6 4 1
pitetnr 0 2 5 4 1 3 6
pitetrn 0 2 5 4 1 6 3
pitentr 0 2 5 4 3 1 6
pitenrt 0 2 5 4 3 6 1
pitertn 0 2 5 4 6 1 3
piternt 0 2 5 4 6 3 1
pitrtne 0 2 5 6 1 3 4
pitrten 0 2 5 6 1 4 3
pitrnte 0 2 5 6 3 1 4
pitrnet 0 2 5 6 3 4 1
pitretn 0 2 5 6 4 1 3
pitrent 0 2 5 6 4 3 1
pirtnet 0 2 6 1 3 4 5
pirtnte 0 2 6 1 3 5 4
pirtent 0 2 6 1 4 3 5
pirtetn 0 2 6 1 4 5 3
pirttne 0 2 6 1 5 3 4
pirtten 0 2 6 1 5 4 3
pirntet 0 2 6 3 1 4 5
pirntte 0 2 6 3 1 5 4
pirnett 0 2 6 3 4 1 5
pirnett 0 2 6 3 4 5 1
pirntte 0 2 6 3 5 1 4
pirntet 0 2 6 3 5 4 1
piretnt 0 2 6 4 1 3 5
pirettn 0 2 6 4 1 5 3
pirentt 0 2 6 4 3 1 5
pirentt 0 2 6 4 3 5 1
pirettn 0 2 6 4 5 1 3
piretnt 0 2 6 4 5 3 1
pirttne 0 2 6 5 1 3 4
pirtten 0 2 6 5 1 4 3
pirtnte 0 2 6 5 3 1 4
pirtnet 0 2 6 5 3 4 1
pirtetn 0 2 6 5 4 1 3
pirtent 0 2 6 5 4 3 1
pntietr 0 3 1 2 4 5 6
pntiert 0 3 1 2 4 6 5
pntiter 0 3 1 2 5 4 6
pntitre 0 3 1 2 5 6 4
pntiret 0 3 1 2 6 4 5
pntirte 0 3 1 2 6 5 4
pnteitr 0 3 1 4 2 5 6
pnteirt 0 3 1 4 2 6 5
pntetir 0 3 1 4 5 2 6
pntetri 0 3 1 4 5 6 2
pnterit 0 3 1 4 6 2 5
pnterti 0 3 1 4 6 5 2
pnttier 0 3 1 5 2 4 6
pnttire 0 3 1 5 2 6 4
pntteir 0 3 1 5 4 2 6
pntteri 0 3 1 5 4 6 2
pnttrie 0 3 1 5 6 2 4
pnttrei 0 3 1 5 6 4 2
pntriet 0 3 1 6 2 4 5
pntrite 0 3 1 6 2 5 4
pntreit 0 3 1 6 4 2 5
pntreti 0 3 1 6 4 5 2
pntrtie 0 3 1 6 5 2 4
pntrtei 0 3 1 6 5 4 2
pnitetr 0 3 2 1 4 5 6
pnitert 0 3 2 1 4 6 5
pnitter 0 3 2 1 5 4 6
pnittre 0 3 2 1 5 6 4
pnitret 0 3 2 1 6 4 5
pnitrte 0 3 2 1 6 5 4
pniettr 0 3 2 4 1 5 6
pnietrt 0 3 2 4 1 6 5
pniettr 0 3 2 4 5 1 6
pnietrt 0 3 2 4 5 6 1
pniertt 0 3 2 4 6 1 5
pniertt 0 3 2 4 6 5 1
pnitter 0 3 2 5 1 4 6
pnittre 0 3 2 5 1 6 4
pnitetr 0 3 2 5 4 1 6
pnitert 0 3 2 5 4 6 1
pnitrte 0 3 2 5 6 1 4
pnitret 0 3 2 5 6 4 1
pnirtet 0 3 2 6 1 4 5
pnirtte 0 3 2 6 1 5 4
pnirett 0 3 2 6 4 1 5
pnirett 0 3 2 6 4 5 1
pnirtte 0 3 2 6 5 1 4
pnirtet 0 3 2 6 5 4 1
pnetitr 0 3 4 1 2 5 6
pnetirt 0 3 4 1 2 6 5
pnettir 0 3 4 1 5 2 6
pnettri 0 3 4 1 5 6 2
