Shift: 16
qujofus 0 1 2 3 4 5 6
qujofsu 0 1 2 3 4 6 5
qujoufs 0 1 2 3 5 4 6
qujousf 0 1 2 3 5 6 4
qujosfu 0 1 2 3 6 4 5
qujosuf 0 1 2 3 6 5 4
qujfous 0 1 2 4 3 5 6
qujfosu 0 1 2 4 3 6 5
qujfuos 0 1 2 4 5 3 6
qujfuso 0 1 2 4 5 6 3
qujfsou 0 1 2 4 6 3 5
qujfsuo 0 1 2 4 6 5 3
qujuofs 0 1 2 5 3 4 6
qujuosf 0 1 2 5 3 6 4
qujufos 0 1 2 5 4 3 6
qujufso 0 1 2 5 4 6 3
qujusof 0 1 2 5 6 3 4
qujusfo 0 1 2 5 6 4 3
qujsofu 0 1 2 6 3 4 5
qujsouf 0 1 2 6 3 5 4
qujsfou 0 1 2 6 4 3 5
qujsfuo 0 1 2 6 4 5 3
qujsuof 0 1 2 6 5 3 4
qujsufo 0 1 2 6 5 4 3
quojfus 0 1 3 2 4 5 6
quojfsu 0 1 3 2 4 6 5
quojufs 0 1 3 2 5 4 6
quojusf 0 1 3 2 5 6 4
quojsfu 0 1 3 2 6 4 5
quojsuf 0 1 3 2 6 5 4
quofjus 0 1 3 4 2 5 6
quofjsu 0 1 3 4 2 6 5
quofujs 0 1 3 4 5 2 6
quofusj 0 1 3 4 5 6 2
quofsju 0 1 3 4 6 2 5
quofsuj 0 1 3 4 6 5 2
quoujfs 0 1 3 5 2 4 6
quoujsf 0 1 3 5 2 6 4
quoufjs 0 1 3 5 4 2 6
quoufsj 0 1 3 5 4 6 2
quousjf 0 1 3 5 6 2 4
quousfj 0 1 3 5 6 4 2
quosjfu 0 1 3 6 2 4 5
quosjuf 0 1 3 6 2 5 4
quosfju 0 1 3 6 4 2 5
quosfuj 0 1 3 6 4 5 2
quosujf 0 1 3 6 5 2 4
quosufj 0 1 3 6 5 4 2
qufjous 0 1 4 2 3 5 6
qufjosu 0 1 4 2 3 6 5
qufjuos 0 1 4 2 5 3 6
qufjuso 0 1 4 2 5 6 3
qufjsou 0 1 4 2 6 3 5
qufjsuo 0 1 4 2 6 5 3
qufojus 0 1 4 3 2 5 6
qufojsu 0 1 4 3 2 6 5
qufoujs 0 1 4 3 5 2 6
qufousj 0 1 4 3 5 6 2
qufosju 0 1 4 3 6 2 5
qufosuj 0 1 4 3 6 5 2
qufujos 0 1 4 5 2 3 6
qufujso 0 1 4 5 2 6 3
qufuojs 0 1 4 5 3 2 6
qufuosj 0 1 4 5 3 6 2
qufusjo 0 1 4 5 6 2 3
qufusoj 0 1 4 5 6 3 2
qufsjou 0 1 4 6 2 3 5
qufsjuo 0 1 4 6 2 5 3
qufsoju 0 1 4 6 3 2 5
qufsouj 0 1 4 6 3 5 2
qufsujo 0 1 4 6 5 2 3
qufsuoj 0 1 4 6 5 3 2
quujofs 0 1 5 2 3 4 6
quujosf 0 1 5 2 3 6 4
quujfos 0 1 5 2 4 3 6
quujfso 0 1 5 2 4 6 3
quujsof 0 1 5 2 6 3 4
quujsfo 0 1 5 2 6 4 3
quuojfs 0 1 5 3 2 4 6
quuojsf 0 1 5 3 2 6 4
quuofjs 0 1 5 3 4 2 6
quuofsj 0 1 5 3 4 6 2
quuosjf 0 1 5 3 6 2 4
quuosfj 0 1 5 3 6 4 2
quufjos 0 1 5 4 2 3 6
quufjso 0 1 5 4 2 6 3
quufojs 0 1 5 4 3 2 6
quufosj 0 1 5 4 3 6 2
quufsjo 0 1 5 4 6 2 3
quufsoj 0 1 5 4 6 3 2
quusjof 0 1 5 6 2 3 4
quusjfo 0 1 5 6 2 4 3
quusojf 0 1 5 6 3 2 4
quusofj 0 1 5 6 3 4 2
quusfjo 0 1 5 6 4 2 3
quusfoj 0 1 5 6 4 3 2
qusjofu 0 1 6 2 3 4 5
qusjouf 0 1 6 2 3 5 4
qusjfou 0 1 6 2 4 3 5
qusjfuo 0 1 6 2 4 5 3
qusjuof 0 1 6 2 5 3 4
qusjufo 0 1 6 2 5 4 3
qusojfu 0 1 6 3 2 4 5
qusojuf 0 1 6 3 2 5 4
qusofju 0 1 6 3 4 2 5
qusofuj 0 1 6 3 4 5 2
qusoujf 0 1 6 3 5 2 4
qusoufj 0 1 6 3 5 4 2
qusfjou 0 1 6 4 2 3 5
qusfjuo 0 1 6 4 2 5 3
qusfoju 0 1 6 4 3 2 5
qusfouj 0 1 6 4 3 5 2
qusfujo 0 1 6 4 5 2 3
qusfuoj 0 1 6 4 5 3 2
qusujof 0 1 6 5 2 3 4
qusujfo 0 1 6 5 2 4 3
qusuojf 0 1 6 5 3 2 4
qusuofj 0 1 6 5 3 4 2
qusufjo 0 1 6 5 4 2 3
qusufoj 0 1 6 5 4 3 2
qjuofus 0 2 1 3 4 5 6
qjuofsu 0 2 1 3 4 6 5
qjuoufs 0 2 1 3 5 4 6
qjuousf 0 2 1 3 5 6 4
qjuosfu 0 2 1 3 6 4 5
qjuosuf 0 2 1 3 6 5 4
qjufous 0 2 1 4 3 5 6
qjufosu 0 2 1 4 3 6 5
qjufuos 0 2 1 4 5 3 6
qjufuso 0 2 1 4 5 6 3
qjufsou 0 2 1 4 6 3 5
qjufsuo 0 2 1 4 6 5 3
qjuuofs 0 2 1 5 3 4 6
qjuuosf 0 2 1 5 3 6 4
qjuufos 0 2 1 5 4 3 6
qjuufso 0 2 1 5 4 6 3
qjuusof 0 2 1 5 6 3 4
qjuusfo 0 2 1 5 6 4 3
qjusofu 0 2 1 6 3 4 5
qjusouf 0 2 1 6 3 5 4
qjusfou 0 2 1 6 4 3 5
qjusfuo 0 2 1 6 4 5 3
qjusuof 0 2 1 6 5 3 4
qjusufo 0 2 1 6 5 4 3
qjoufus 0 2 3 1 4 5 6
qjoufsu 0 2 3 1 4 6 5
qjouufs 0 2 3 1 5 4 6
qjouusf 0 2 3 1 5 6 4
qjousfu 0 2 3 1 6 4 5
qjousuf 0 2 3 1 6 5 4
qjofuus 0 2 3 4 1 5 6
qjofusu 0 2 3 4 1 6 5
qjofuus 0 2 3 4 5 1 6
qjofusu 0 2 3 4 5 6 1
qjofsuu 0 2 3 4 6 1 5
qjofsuu 0 2 3 4 6 5 1
qjouufs 0 2 3 5 1 4 6
qjouusf 0 2 3 5 1 6 4
qjoufus 0 2 3 5 4 1 6
qjoufsu 0 2 3 5 4 6 1
qjousuf 0 2 3 5 6 1 4
qjousfu 0 2 3 5 6 4 1
qjosufu 0 2 3 6 1 4 5
qjosuuf 0 2 3 6 1 5 4
qjosfuu 0 2 3 6 4 1 5
qjosfuu 0 2 3 6 4 5 1
qjosuuf 0 2 3 6 5 1 4
qjosufu 0 2 3 6 5 4 1
qjfuous 0 2 4 1 3 5 6
qjfuosu 0 2 4 1 3 6 5
qjfuuos 0 2 4 1 5 3 6
qjfuuso 0 2 4 1 5 6 3
qjfusou 0 2 4 1 6 3 5
qjfusuo 0 2 4 1 6 5 3
qjfouus 0 2 4 3 1 5 6
qjfousu 0 2 4 3 1 6 5
qjfouus 0 2 4 3 5 1 6
qjfousu 0 2 4 3 5 6 1
qjfosuu 0 2 4 3 6 1 5
qjfosuu 0 2 4 3 6 5 1
qjfuuos 0 2 4 5 1 3 6
qjfuuso 0 2 4 5 1 6 3
qjfuous 0 2 4 5 3 1 6
qjfuosu 0 2 4 5 3 6 1
qjfusuo 0 2 4 5 6 1 3
qjfusou 0 2 4 5 6 3 1
qjfsuou 0 2 4 6 1 3 5
qjfsuuo 0 2 4 6 1 5 3
qjfsouu 0 2 4 6 3 1 5
qjfsouu 0 2 4 6 3 5 1
qjfsuuo 0 2 4 6 5 1 3
qjfsuou 0 2 4 6 5 3 1
qjuuofs 0 2 5 1 3 4 6
qjuuosf 0 2 5 1 3 6 4
qjuufos 0 2 5 1 4 3 6
qjuufso 0 2 5 1 4 6 3
qjuusof 0 2 5 1 6 3 4
qjuusfo 0 2 5 1 6 4 3
qjuoufs 0 2 5 3 1 4 6
qjuousf 0 2 5 3 1 6 4
qjuofus 0 2 5 3 4 1 6
qjuofsu 0 2 5 3 4 6 1
qjuosuf 0 2 5 3 6 1 4
qjuosfu 0 2 5 3 6 4 1
qjufuos 0 2 5 4 1 3 6
qjufuso 0 2 5 4 1 6 3
qjufous 0 2 5 4 3 1 6
qjufosu 0 2 5 4 3 6 1
qjufsuo 0 2 5 4 6 1 3
qjufsou 0 2 5 4 6 3 1
qjusuof 0 2 5 6 1 3 4
qjusufo 0 2 5 6 1 4 3
qjusouf 0 2 5 6 3 1 4
qjusofu 0 2 5 6 3 4 1
qjusfuo 0 2 5 6 4 1 3
