Shift: 22
wapulay 0 1 2 3 4 5 6
wapulya 0 1 2 3 4 6 5
wapualy 0 1 2 3 5 4 6
wapuayl 0 1 2 3 5 6 4
wapuyla 0 1 2 3 6 4 5
wapuyal 0 1 2 3 6 5 4
wapluay 0 1 2 4 3 5 6
wapluya 0 1 2 4 3 6 5
waplauy 0 1 2 4 5 3 6
waplayu 0 1 2 4 5 6 3
waplyua 0 1 2 4 6 3 5
waplyau 0 1 2 4 6 5 3
wapauly 0 1 2 5 3 4 6
wapauyl 0 1 2 5 3 6 4
wapaluy 0 1 2 5 4 3 6
wapalyu 0 1 2 5 4 6 3
wapayul 0 1 2 5 6 3 4
wapaylu 0 1 2 5 6 4 3
wapyula 0 1 2 6 3 4 5
wapyual 0 1 2 6 3 5 4
wapylua 0 1 2 6 4 3 5
wapylau 0 1 2 6 4 5 3
wapyaul 0 1 2 6 5 3 4
wapyalu 0 1 2 6 5 4 3
wauplay 0 1 3 2 4 5 6
wauplya 0 1 3 2 4 6 5
waupaly 0 1 3 2 5 4 6
waupayl 0 1 3 2 5 6 4
waupyla 0 1 3 2 6 4 5
waupyal 0 1 3 2 6 5 4
waulpay 0 1 3 4 2 5 6
waulpya 0 1 3 4 2 6 5
waulapy 0 1 3 4 5 2 6
waulayp 0 1 3 4 5 6 2
waulypa 0 1 3 4 6 2 5
waulyap 0 1 3 4 6 5 2
wauaply 0 1 3 5 2 4 6
wauapyl 0 1 3 5 2 6 4
waualpy 0 1 3 5 4 2 6
waualyp 0 1 3 5 4 6 2
wauaypl 0 1 3 5 6 2 4
wauaylp 0 1 3 5 6 4 2
wauypla 0 1 3 6 2 4 5
wauypal 0 1 3 6 2 5 4
wauylpa 0 1 3 6 4 2 5
wauylap 0 1 3 6 4 5 2
wauyapl 0 1 3 6 5 2 4
wauyalp 0 1 3 6 5 4 2
walpuay 0 1 4 2 3 5 6
walpuya 0 1 4 2 3 6 5
walpauy 0 1 4 2 5 3 6
walpayu 0 1 4 2 5 6 3
walpyua 0 1 4 2 6 3 5
walpyau 0 1 4 2 6 5 3
walupay 0 1 4 3 2 5 6
walupya 0 1 4 3 2 6 5
waluapy 0 1 4 3 5 2 6
waluayp 0 1 4 3 5 6 2
waluypa 0 1 4 3 6 2 5
waluyap 0 1 4 3 6 5 2
walapuy 0 1 4 5 2 3 6
walapyu 0 1 4 5 2 6 3
walaupy 0 1 4 5 3 2 6
walauyp 0 1 4 5 3 6 2
walaypu 0 1 4 5 6 2 3
walayup 0 1 4 5 6 3 2
walypua 0 1 4 6 2 3 5
walypau 0 1 4 6 2 5 3
walyupa 0 1 4 6 3 2 5
walyuap 0 1 4 6 3 5 2
walyapu 0 1 4 6 5 2 3
walyaup 0 1 4 6 5 3 2
waapuly 0 1 5 2 3 4 6
waapuyl 0 1 5 2 3 6 4
waapluy 0 1 5 2 4 3 6
waaplyu 0 1 5 2 4 6 3
waapyul 0 1 5 2 6 3 4
waapylu 0 1 5 2 6 4 3
waauply 0 1 5 3 2 4 6
waaupyl 0 1 5 3 2 6 4
waaulpy 0 1 5 3 4 2 6
waaulyp 0 1 5 3 4 6 2
waauypl 0 1 5 3 6 2 4
waauylp 0 1 5 3 6 4 2
waalpuy 0 1 5 4 2 3 6
waalpyu 0 1 5 4 2 6 3
waalupy 0 1 5 4 3 2 6
waaluyp 0 1 5 4 3 6 2
waalypu 0 1 5 4 6 2 3
waalyup 0 1 5 4 6 3 2
waaypul 0 1 5 6 2 3 4
waayplu 0 1 5 6 2 4 3
waayupl 0 1 5 6 3 2 4
waayulp 0 1 5 6 3 4 2
waaylpu 0 1 5 6 4 2 3
waaylup 0 1 5 6 4 3 2
waypula 0 1 6 2 3 4 5
waypual 0 1 6 2 3 5 4
wayplua 0 1 6 2 4 3 5
wayplau 0 1 6 2 4 5 3
waypaul 0 1 6 2 5 3 4
waypalu 0 1 6 2 5 4 3
wayupla 0 1 6 3 2 4 5
wayupal 0 1 6 3 2 5 4
wayulpa 0 1 6 3 4 2 5
wayulap 0 1 6 3 4 5 2
wayuapl 0 1 6 3 5 2 4
wayualp 0 1 6 3 5 4 2
waylpua 0 1 6 4 2 3 5
waylpau 0 1 6 4 2 5 3
waylupa 0 1 6 4 3 2 5
wayluap 0 1 6 4 3 5 2
waylapu 0 1 6 4 5 2 3
waylaup 0 1 6 4 5 3 2
wayapul 0 1 6 5 2 3 4
wayaplu 0 1 6 5 2 4 3
wayaupl 0 1 6 5 3 2 4
wayaulp 0 1 6 5 3 4 2
wayalpu 0 1 6 5 4 2 3
wayalup 0 1 6 5 4 3 2
wpaulay 0 2 1 3 4 5 6
wpaulya 0 2 1 3 4 6 5
wpaualy 0 2 1 3 5 4 6
wpauayl 0 2 1 3 5 6 4
wpauyla 0 2 1 3 6 4 5
wpauyal 0 2 1 3 6 5 4
wpaluay 0 2 1 4 3 5 6
wpaluya 0 2 1 4 3 6 5
wpalauy 0 2 1 4 5 3 6
wpalayu 0 2 1 4 5 6 3
wpalyua 0 2 1 4 6 3 5
wpalyau 0 2 1 4 6 5 3
wpaauly 0 2 1 5 3 4 6
wpaauyl 0 2 1 5 3 6 4
wpaaluy 0 2 1 5 4 3 6
wpaalyu 0 2 1 5 4 6 3
wpaayul 0 2 1 5 6 3 4
wpaaylu 0 2 1 5 6 4 3
wpayula 0 2 1 6 3 4 5
wpayual 0 2 1 6 3 5 4
wpaylua 0 2 1 6 4 3 5
wpaylau 0 2 1 6 4 5 3
wpayaul 0 2 1 6 5 3 4
wpayalu 0 2 1 6 5 4 3
wpualay 0 2 3 1 4 5 6
wpualya 0 2 3 1 4 6 5
wpuaaly 0 2 3 1 5 4 6
wpuaayl 0 2 3 1 5 6 4
wpuayla 0 2 3 1 6 4 5
wpuayal 0 2 3 1 6 5 4
wpulaay 0 2 3 4 1 5 6
wpulaya 0 2 3 4 1 6 5
wpulaay 0 2 3 4 5 1 6
wpulaya 0 2 3 4 5 6 1
wpulyaa 0 2 3 4 6 1 5
wpulyaa 0 2 3 4 6 5 1
wpuaaly 0 2 3 5 1 4 6
wpuaayl 0 2 3 5 1 6 4
wpualay 0 2 3 5 4 1 6
wpualya 0 2 3 5 4 6 1
wpuayal 0 2 3 5 6 1 4
wpuayla 0 2 3 5 6 4 1
wpuyala 0 2 3 6 1 4 5
wpuyaal 0 2 3 6 1 5 4
wpuylaa 0 2 3 6 4 1 5
wpuylaa 0 2 3 6 4 5 1
