kmtfthsohpuquqgi tukitpinkksphqoq
jmpgthssiquttpki itporjjnklhjpnjj
tlpmtpihsliitkun ilnhnpjionlilgjq
pltlppmhrmhipjpr sopojormtgpmijnr
omthspinlrgppmsj tpmjpmpsjsnqghfl
ritintmolsgpuhrj flhfkloonphjrfmk
fsslrhohmsngfpnj hkshqfjrjlfgkqgt
gsrmshsilrnkftoj hgoosunjkqoihktp
smnmtusmkprrfjpp nhlngonlqfkuphni
olrmttsmktsrkjqt ptgkptqhltqsttfn
hoprnfgokhuoqklu hqfmgpfmoguumigu
iruonjjokitrqjmt qsphmnisriktoiul
lfnmqphkginmimtq gptoqlfhjfmprtll
ifsltumkjlnimlpu pqkgugtnnpoggrms
surqprqoosffurqu hgjhpppirlsflggi
rqsttnpnnofjusuu ulghrrjpttuqftqq
huqmfgiutlhlfnnu gkuppkphlnrhoghk
mttmgjlqphmlgonq ghnqlnnimifuuikn
rsohjjmsmltotstq pnmstgiqqonmtpon
srnhgghnhiqsqsqu upqsfjluhtfolqoq
